epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4025,1.6231,14.5947,0.0134,0.06688,0.13968,0.05129,0.04428,0.70067,10.0149,0.0078,0.00012221,0.00012221,0.00012221
2,75.4571,1.14571,9.37303,0.00955,0.53322,0.54546,0.64462,0.47147,1.02208,4.50863,0.01116,0.00025093,0.00025093,0.00025093
3,91.8436,1.16896,5.0035,0.00988,0.78056,0.70659,0.85189,0.65055,0.83921,1.57328,0.00953,0.000374851,0.000374851,0.000374851
4,108.221,1.24465,2.74203,0.01036,0.75144,0.69937,0.82711,0.58699,0.95717,0.93265,0.01042,0.000493973,0.000493973,0.000493973
5,123.716,1.23256,1.85867,0.01012,0.78143,0.768,0.8945,0.66758,0.88876,0.84522,0.00978,0.000608295,0.000608295,0.000608295
6,140.157,1.22142,1.57715,0.01099,0.75745,0.84616,0.90036,0.59595,1.18807,1.04997,0.01404,0.000717817,0.000717817,0.000717817
7,156.056,1.20125,1.29987,0.01009,0.85323,0.84654,0.92337,0.65348,1.25577,0.72653,0.01412,0.00082254,0.00082254,0.00082254
8,171.982,1.26528,1.27691,0.0108,0.87364,0.8993,0.93175,0.6198,1.30202,0.74948,0.01557,0.000922463,0.000922463,0.000922463
9,187.642,1.27392,1.19107,0.01058,0.89475,0.80406,0.92263,0.66197,0.97844,0.90999,0.01135,0.000951016,0.000951016,0.000951016
10,203.37,1.19949,1.06756,0.01036,0.89864,0.86966,0.95327,0.67157,1.18595,0.66671,0.01404,0.000931018,0.000931018,0.000931018
11,219.169,1.21915,1.01135,0.01048,0.88441,0.80524,0.94409,0.64044,1.11711,1.0216,0.01307,0.00091102,0.00091102,0.00091102
12,234.827,1.18518,0.90692,0.01028,0.86921,0.8534,0.91645,0.67615,0.96351,0.58955,0.01053,0.000891022,0.000891022,0.000891022
13,250.632,1.26316,0.9558,0.01055,0.79653,0.9108,0.91444,0.66043,1.05564,0.6158,0.01133,0.000871024,0.000871024,0.000871024
14,266.37,1.19624,0.83522,0.01022,0.96512,0.89237,0.97644,0.6985,1.09927,0.53357,0.01277,0.000851026,0.000851026,0.000851026
15,282.772,1.23357,0.80985,0.01064,0.89483,0.83659,0.9408,0.65783,1.03913,0.75779,0.01268,0.000831028,0.000831028,0.000831028
16,299.514,1.20982,0.82426,0.00995,0.95325,0.93878,0.97939,0.70978,1.09907,0.56902,0.01176,0.00081103,0.00081103,0.00081103
17,317.386,1.14596,0.72857,0.00979,0.98533,0.90969,0.99019,0.67901,1.20155,0.43661,0.0142,0.000791032,0.000791032,0.000791032
18,332.817,1.17704,0.70279,0.00975,0.96835,0.93915,0.98399,0.58216,1.66555,0.63396,0.02028,0.000771034,0.000771034,0.000771034
19,348.141,1.1613,0.71838,0.00957,0.93114,0.94715,0.97702,0.66163,1.23348,0.48638,0.01421,0.000751036,0.000751036,0.000751036
20,364,1.12821,0.64534,0.00932,0.95603,0.94986,0.98053,0.71885,0.99582,0.36656,0.01156,0.000731038,0.000731038,0.000731038
21,380.14,1.13737,0.64867,0.00971,0.95311,0.90614,0.97295,0.70082,0.99405,0.36953,0.01146,0.00071104,0.00071104,0.00071104
22,395.376,1.1191,0.67591,0.00954,0.95802,0.92076,0.98047,0.68042,1.18173,0.39515,0.01404,0.000691042,0.000691042,0.000691042
23,411.126,1.11609,0.70066,0.00929,0.9439,0.9274,0.95582,0.73241,0.90219,0.56538,0.00949,0.000671044,0.000671044,0.000671044
24,427.88,1.08546,0.60127,0.0094,0.98582,0.91133,0.98829,0.74123,0.94311,0.41323,0.00977,0.000651046,0.000651046,0.000651046
25,444.8,1.10492,0.57877,0.00924,0.94261,0.95987,0.98843,0.78931,0.77557,0.289,0.00852,0.000631048,0.000631048,0.000631048
26,461.629,1.13726,0.59493,0.00912,0.95919,0.96459,0.98816,0.72573,0.94184,0.34345,0.01024,0.00061105,0.00061105,0.00061105
27,477.636,1.09411,0.64922,0.00879,0.92399,0.93586,0.98647,0.74205,0.95587,0.34533,0.01092,0.000591052,0.000591052,0.000591052
